orderbook_timestamp,book,bid,ask,spread
2024-07-17 23:04:07+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:08+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:09+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:10+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:11+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:12+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:13+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:14+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:15+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:16+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:17+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:18+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:19+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:20+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:21+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:22+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:23+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:24+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:25+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:26+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:27+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:28+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:29+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:31+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:31+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:33+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:34+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:35+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:36+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:37+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:38+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:39+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:40+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:41+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:42+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:43+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:44+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:45+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:46+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:47+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:48+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:49+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:50+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:51+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:52+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:53+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:54+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:55+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:56+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:57+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:58+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:04:59+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:00+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:01+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:02+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:03+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:04+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:05+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:06+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:07+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:08+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:09+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:10+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:11+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:12+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:13+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:14+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:15+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:16+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:17+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:18+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:19+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:20+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:21+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:22+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:23+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:24+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:25+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:26+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:27+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:28+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:29+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:30+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:31+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:32+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:33+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:35+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:36+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:37+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:38+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:39+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:40+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:41+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:42+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:43+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:44+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:45+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:46+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:47+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:48+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:49+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:50+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:51+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:52+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:53+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:54+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:55+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:56+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:57+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:58+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:05:59+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:00+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:01+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:02+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:03+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:04+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:05+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:06+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:07+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:08+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:09+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:10+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:11+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:12+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:13+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:14+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:15+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:16+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:17+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:18+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:19+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:20+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:21+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:22+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:23+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:24+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:25+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:26+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:27+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:28+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:29+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:30+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:31+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:32+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:33+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:34+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:35+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:37+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:38+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:39+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:40+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:41+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:42+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:43+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:44+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:45+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:46+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:47+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:48+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:49+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:50+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:51+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:53+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:54+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:54+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:55+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:56+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:57+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:58+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:06:59+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:00+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:01+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:02+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:03+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:04+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:05+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:06+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:07+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:08+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:09+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:10+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:11+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:12+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:13+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:14+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:15+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:16+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:17+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:18+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:19+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:20+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:21+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:22+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:23+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:24+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:25+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:27+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:28+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:29+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:30+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:31+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:32+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:33+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:34+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:35+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:36+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:37+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:38+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:39+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:40+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:41+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:42+00:00,usd_mxn,17.68,17.69,0.057
2024-07-17 23:07:43+00:00,usd_mxn,17.68,17.69,0.057
