orderbook_timestamp,book,bid,ask,spread
2024-07-16 23:59:46+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:47+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:48+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:49+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:50+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:51+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:52+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:53+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:54+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:55+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:56+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:57+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:58+00:00,usd_mxn,17.64,17.65,0.057
2024-07-16 23:59:59+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:00+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:01+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:02+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:03+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:04+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:05+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:06+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:07+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:08+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:09+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:10+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:11+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:12+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:13+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:14+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:15+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:16+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:17+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:18+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:19+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:20+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:21+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:22+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:23+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:24+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:25+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:26+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:27+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:28+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:29+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:30+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:31+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:32+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:33+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:34+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:35+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:36+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:37+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:38+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:39+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:40+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:41+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:42+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:43+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:44+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:45+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:46+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:47+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:48+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:49+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:51+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:52+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:53+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:54+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:55+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:56+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:57+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:58+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:00:59+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:00+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:01+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:02+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:03+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:04+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:05+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:06+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:07+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:08+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:09+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:10+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:11+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:12+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:13+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:14+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:15+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:16+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:17+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:18+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:19+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:20+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:21+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:22+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:23+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:24+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:25+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:26+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:27+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:28+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:29+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:30+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:31+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:32+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:33+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:34+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:35+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:36+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:37+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:38+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:39+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:40+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:41+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:42+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:43+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:44+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:46+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:46+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:48+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:49+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:50+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:51+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:52+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:53+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:54+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:55+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:56+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:57+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:58+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:01:59+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:00+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:01+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:02+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:03+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:04+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:05+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:06+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:07+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:08+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:09+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:10+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:11+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:12+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:13+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:14+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:15+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:16+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:17+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:18+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:19+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:20+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:21+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:22+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:23+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:24+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:25+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:26+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:27+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:28+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:29+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:30+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:31+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:32+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:33+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:34+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:35+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:36+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:37+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:38+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:40+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:41+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:41+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:42+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:43+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:44+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:46+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:46+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:48+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:49+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:50+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:51+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:52+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:53+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:54+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:55+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:56+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:57+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:58+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:02:59+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:00+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:01+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:02+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:03+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:04+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:05+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:06+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:07+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:08+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:09+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:10+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:11+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:12+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:13+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:14+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:15+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:16+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:17+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:18+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:19+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:20+00:00,usd_mxn,17.64,17.65,0.057
2024-07-17 00:03:21+00:00,usd_mxn,17.64,17.65,0.057
