orderbook_timestamp,book,bid,ask,spread
2024-07-17 23:33:00+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:01+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:02+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:03+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:04+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:05+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:06+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:07+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:08+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:09+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:10+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:11+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:12+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:13+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:14+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:15+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:16+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:17+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:18+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:19+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:20+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:21+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:22+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:23+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:24+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:25+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:26+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:27+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:28+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:29+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:30+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:31+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:32+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:33+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:34+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:35+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:37+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:38+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:39+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:40+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:41+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:42+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:43+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:44+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:45+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:46+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:47+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:48+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:50+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:51+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:52+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:53+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:54+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:55+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:56+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:57+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:58+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:33:59+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:00+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:01+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:02+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:03+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:04+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:05+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:06+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:07+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:08+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:09+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:10+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:11+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:12+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:13+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:14+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:15+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:16+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:17+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:18+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:19+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:20+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:21+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:22+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:23+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:24+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:25+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:26+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:27+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:28+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:29+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:30+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:31+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:32+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:33+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:34+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:35+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:36+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:37+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:38+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:39+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:40+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:41+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:42+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:43+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:44+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:45+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:46+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:47+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:48+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:49+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:50+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:51+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:52+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:53+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:54+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:55+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:56+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:57+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:58+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:34:59+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:00+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:01+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:02+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:03+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:04+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:05+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:06+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:08+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:08+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:09+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:11+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:12+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:13+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:14+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:15+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:16+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:17+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:18+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:19+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:20+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:21+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:22+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:23+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:24+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:25+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:26+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:27+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:28+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:29+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:30+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:31+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:32+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:33+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:34+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:35+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:36+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:37+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:38+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:39+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:40+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:41+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:42+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:43+00:00,btc_mxn,1137839.98,1137840.02,0.0
2024-07-17 23:35:44+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:45+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:46+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:47+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:48+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:49+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:50+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:51+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:52+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:53+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:54+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:55+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:56+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:57+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:58+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:35:59+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:00+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:01+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:03+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:04+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:05+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:06+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:07+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:08+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:09+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:10+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:11+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:13+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:13+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:14+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:15+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:16+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:17+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:18+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:19+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:20+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:21+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:22+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:23+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:24+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:25+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:26+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:27+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:28+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:29+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:30+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:31+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:32+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:33+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:34+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:35+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:36+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:37+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:38+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:39+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:40+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:41+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:42+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:43+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:44+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:45+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:46+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:47+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:48+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:49+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:50+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:51+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:53+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:54+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:55+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:56+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:57+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:36:59+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:00+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:00+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:02+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:03+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:04+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:05+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:06+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:07+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:08+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:09+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:10+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:11+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:12+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:13+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:14+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:15+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:16+00:00,btc_mxn,1137119.98,1137120.02,0.0
2024-07-17 23:37:17+00:00,btc_mxn,1137119.98,1137120.02,0.0
